Subject,Condition,Order,Section,Coder,trial,num,Num_Error,Lex_Error,Plural_Error,Type,carrier,target,row,Age,Age_Group
1,Reformulation,2,pre,1,1,1,NA,no,no,RP,hi,pigs,1,4.41889117,4
1,Reformulation,2,pre,1,2,1,NA,no,no,IP,hi,leaves,2,4.41889117,4
1,Reformulation,2,pre,1,3,1,NA,no,yes,IP,hi,teeth,3,4.41889117,4
1,Reformulation,2,pre,1,4,1,NA,no,no,RP,hi,dogs,4,4.41889117,4
1,Reformulation,2,pre,1,5,1,NA,no,no,IP,hi,feet,5,4.41889117,4
1,Reformulation,2,pre,1,6,1,NA,no,yes,IP,hi,snowmen,6,4.41889117,4
1,Reformulation,2,pre,1,7,1,NA,no,no,RP,hi,forks,7,4.41889117,4
1,Reformulation,2,pre,1,8,1,NA,no,no,RP,hi,frogs,8,4.41889117,4
1,Reformulation,2,pre,1,9,1,NA,no,yes,IP,hi,geese,9,4.41889117,4
1,Reformulation,2,pre,1,10,1,NA,no,no,IP,hi,women,10,4.41889117,4
1,Reformulation,2,pre,1,11,1,NA,no,yes,RP,hi,spoons,11,4.41889117,4
1,Reformulation,2,pre,1,12,1,NA,no,no,IP,hi,men,12,4.41889117,4
1,Reformulation,2,pre,1,13,1,NA,no,yes,RP,hi,turtles,13,4.41889117,4
1,Reformulation,2,pre,1,14,1,NA,no,yes,IP,hi,mice,14,4.41889117,4
1,Reformulation,2,pre,1,15,1,NA,no,no,RP,hi,snakes,15,4.41889117,4
1,Reformulation,2,pre,1,16,1,NA,no,no,RP,hi,cats,16,4.41889117,4
1,Reformulation,2,trial1,1,17,1,yes,no,no,RS,one,mouse,17,4.41889117,4
1,Reformulation,2,trial1,1,17,2,no,no,no,RP,three,snakes,18,4.41889117,4
1,Reformulation,2,trial1,1,18,1,no,no,no,IS,one,leaf,19,4.41889117,4
1,Reformulation,2,trial1,1,18,2,no,no,yes,IP,two,geese,20,4.41889117,4
1,Reformulation,2,trial1,1,19,1,no,no,no,RS,one,pig,21,4.41889117,4
1,Reformulation,2,trial1,1,19,2,no,no,no,IS,one,man,22,4.41889117,4
1,Reformulation,2,trial1,1,20,1,no,no,no,RS,one,dog,23,4.41889117,4
1,Reformulation,2,trial1,1,20,2,no,no,yes,RP,three,pigs,24,4.41889117,4
1,Reformulation,2,trial1,1,21,1,no,no,no,IS,one,goose,25,4.41889117,4
1,Reformulation,2,trial1,1,21,2,no,no,yes,IP,three,women,26,4.41889117,4
1,Reformulation,2,trial1,1,22,1,no,no,no,RS,one,frog,27,4.41889117,4
1,Reformulation,2,trial1,1,22,2,no,no,no,IS,one,foot,28,4.41889117,4
1,Reformulation,2,trial1,1,23,1,no,no,no,RS,one,spoon,29,4.41889117,4
1,Reformulation,2,trial1,1,23,2,no,no,no,RP,three,turtles,30,4.41889117,4
1,Reformulation,2,trial1,1,24,1,no,no,no,RS,one,snake,31,4.41889117,4
1,Reformulation,2,trial1,1,24,2,no,no,no,IP,two,snowmen,32,4.41889117,4
1,Reformulation,2,trial1,1,25,1,no,no,no,RP,two,frogs,33,4.41889117,4
1,Reformulation,2,trial1,1,25,2,no,no,no,IP,two,men,34,4.41889117,4
1,Reformulation,2,trial1,1,26,1,no,no,no,RP,three,spoons,35,4.41889117,4
1,Reformulation,2,trial1,1,26,2,no,no,no,IP,two,teeth,36,4.41889117,4
1,Reformulation,2,trial1,1,27,1,no,no,no,RS,one,cat,37,4.41889117,4
1,Reformulation,2,trial1,1,27,2,no,no,yes,IS,one,snowman,38,4.41889117,4
1,Reformulation,2,trial1,1,28,1,no,no,no,RP,two,dogs,39,4.41889117,4
1,Reformulation,2,trial1,1,28,2,no,no,no,IP,two,feet,40,4.41889117,4
1,Reformulation,2,trial1,1,29,1,no,no,no,RS,one,fork,41,4.41889117,4
1,Reformulation,2,trial1,1,29,2,no,no,no,IS,one,woman,42,4.41889117,4
1,Reformulation,2,trial1,1,30,1,no,no,no,IS,one,tooth,43,4.41889117,4
1,Reformulation,2,trial1,1,30,2,no,no,yes,RP,two,cats,44,4.41889117,4
1,Reformulation,2,trial1,1,31,1,no,no,no,RS,one,turtle,45,4.41889117,4
1,Reformulation,2,trial1,1,31,2,no,no,yes,IP,two,mice,46,4.41889117,4
1,Reformulation,2,trial1,1,32,1,no,no,no,RP,two,forks,47,4.41889117,4
1,Reformulation,2,trial1,1,32,2,no,no,no,IP,three,leaves,48,4.41889117,4
1,Reformulation,2,trial2,1,33,1,no,no,yes,IS,one,man,49,4.41889117,4
1,Reformulation,2,trial2,1,33,2,no,no,no,IP,three,feet,50,4.41889117,4
1,Reformulation,2,trial2,1,34,1,no,no,yes,RP,three,spoons,51,4.41889117,4
1,Reformulation,2,trial2,1,34,2,no,no,no,IP,two,women,52,4.41889117,4
1,Reformulation,2,trial2,1,35,1,no,no,no,RS,one,dog,53,4.41889117,4
1,Reformulation,2,trial2,1,35,2,no,no,yes,RP,two,frogs,54,4.41889117,4
1,Reformulation,2,trial2,1,36,1,no,no,no,RS,one,cat,55,4.41889117,4
1,Reformulation,2,trial2,1,36,2,no,no,no,IP,two,men,56,4.41889117,4
1,Reformulation,2,trial2,1,37,1,no,no,no,RP,two,snakes,57,4.41889117,4
1,Reformulation,2,trial2,1,37,2,no,no,yes,IP,two,leaves,58,4.41889117,4
1,Reformulation,2,trial2,1,38,1,no,no,no,IS,one,goose,59,4.41889117,4
